0000325727;0000908760;Con Los Viajeros del Norte;Kimo's Music;Latin;Banda, Corrido, Mexican Traditions;April 16, 1995;//cdn-gce.allmusic.com/images/no_image/album_300x300.png;
0000325727;0000657218;La  Chacalosa;Brentwood Records / Cintas Acuario;Latin;Banda, Corrido, Mexican Traditions;April 16, 1995;http://cps-static.rovicorp.com/3/JPG_500/MI0002/403/MI0002403920.jpg?partner=allrovi.com;29:48
0000790797;0000185569;Pies Descalzos;Sony Discos Inc. / Sony Music Distribution;Latin, Pop/Rock, Electronic;Latin Pop, Pop, Adult Contemporary, Club/Dance, Urban, Dance-Pop;April, 1996;http://cdn-s3.allmusic.com/release-covers/500/0000/360/0000360387.jpg;41:06
0000790797;0000045951;Dónde Están los Ladrones?;Sony Discos Inc. / Sony Music Distribution;Latin;Latin Pop, Pop, Club/Dance, Urban;September 29, 1998;http://cdn-s3.allmusic.com/release-covers/500/0000/013/0000013164.jpg;41:25
0000790797;0000604924;MTV Unplugged;Sony Music Distribution;Latin, Pop/Rock;Latin Pop, Pop, Club/Dance, Urban;February 29, 2000;http://cdn-s3.allmusic.com/release-covers/500/0001/214/0001214162.jpg;50:33
0000186312;0000459380;La Incomparable Celia;Absolute;Latin, Jazz;Latin Jazz, Latin Pop, Mambo, Salsa, Son, Tropical, World Fusion, Cuban Traditions;July 16, 1958;http://cps-static.rovicorp.com/3/JPG_500/MI0002/319/MI0002319701.jpg?partner=allrovi.com;
0000186312;0000646737;Mi Diario Musical;Polydor / Polygram;Latin;Salsa, Tropical, Cuban Traditions, Latin Pop, Mambo, Son;1959;http://cps-static.rovicorp.com/3/JPG_500/MI0002/149/MI0002149585.jpg?partner=allrovi.com;32:15
0000186312;0000183970;Sabor y Ritmo de Pueblos;Polydor / Polygram;Latin;Salsa, Tropical;April 10, 1965;http://cps-static.rovicorp.com/3/JPG_500/MI0002/034/MI0002034830.jpg?partner=allrovi.com;35:09
0000673486;0000264890;When the Night Is Over;Atlantic;Electronic, Latin, Pop/Rock;Club/Dance, Garage, House, Latin Dance;1991;http://cps-static.rovicorp.com/3/JPG_500/MI0003/562/MI0003562680.jpg?partner=allrovi.com;56:41
0000673486;0000620105;Otra Nota;Sony Discos Inc. / Sony Music Distribution;Latin, Electronic;Latin Pop, Tropical, Club/Dance, Latin Dance, Salsa;January 26, 1993;//cdn-gce.allmusic.com/images/no_image/album_300x300.png;37:01
