0000188850;Deathprod;;Avant-Garde, Electronic;Dark Ambient, Experimental Ambient, Noise;http://cps-static.rovicorp.com/3/JPG_400/MI0003/289/MI0003289326.jpg?partner=allrovi.com
0000759643;Rhys Chatham;;Avant-Garde, Classical, Pop/Rock;Avant-Garde Music, No Wave, Punk/New Wave, Microtonal, Modern Composition, Post-Minimalism, Experimental, Experimental Electronic;http://cps-static.rovicorp.com/3/JPG_500/MI0001/333/MI0001333597.jpg?partner=allrovi.com
0000074616;Borbetomagus;Donald Dietrich, Donald Miller, Jim Sauter;Avant-Garde, Jazz;Free Improvisation, Fusion, Noise;http://cps-static.rovicorp.com/3/JPG_400/MI0003/150/MI0003150663.jpg?partner=allrovi.com
0000531200;Charlemagne Palestine;;Avant-Garde, Classical, Pop/Rock;Experimental, Keyboard, Minimalism;http://cps-static.rovicorp.com/3/JPG_400/MI0003/183/MI0003183012.jpg?partner=allrovi.com
0001768491;William Basinski;;Avant-Garde;Conceptual Art, Post-Minimalism, Tape Music, Microsound;http://cps-static.rovicorp.com/3/JPG_400/MI0003/776/MI0003776237.jpg?partner=allrovi.com
0000163426;Erik Friedlander;;Avant-Garde, Classical, Jazz;Chamber Jazz, Avant-Garde Jazz, Chamber Music, Improvisation, Modern Creative, Jazz Instrument;http://cps-static.rovicorp.com/3/JPG_500/MI0001/455/MI0001455658.jpg?partner=allrovi.com
0000776942;Chris Forsyth;;Avant-Garde, Pop/Rock;Alternative/Indie Rock, Indie Rock, Post-Rock;http://cps-static.rovicorp.com/3/JPG_400/MI0003/916/MI0003916736.jpg?partner=allrovi.com
0000185412;John Butcher;;Avant-Garde, Jazz, Electronic;Free Improvisation, Electro-Acoustic, Jazz Instrument, Saxophone Jazz, Avant-Garde Jazz;http://cps-static.rovicorp.com/3/JPG_400/MI0001/335/MI0001335771.jpg?partner=allrovi.com
0000386492;Mats Gustafsson;;Avant-Garde, Classical, Jazz;Chamber Music, Free Improvisation, Free Jazz, Avant-Garde Jazz, Avant-Garde Music, Jazz Instrument, Saxophone Jazz;http://cps-static.rovicorp.com/3/JPG_400/MI0003/463/MI0003463470.jpg?partner=allrovi.com
0000010532;Fred Lonberg-Holm;;Avant-Garde, Classical, Jazz, Pop/Rock;Avant-Garde Music, Free Improvisation, Alternative/Indie Rock, Chamber Jazz, Chamber Pop, Experimental Rock;http://cps-static.rovicorp.com/3/JPG_400/MI0001/335/MI0001335773.jpg?partner=allrovi.com
0000475362;Arthur Russell;;Avant-Garde, Classical, Pop/Rock, Electronic;Disco, Experimental, Minimalism, Post-Disco, Club/Dance;http://cps-static.rovicorp.com/3/JPG_400/MI0003/872/MI0003872528.jpg?partner=allrovi.com
0000606281;Arve Henriksen;;Avant-Garde, International, Jazz;International Fusion, Jazz Instrument, Trumpet Jazz;http://cps-static.rovicorp.com/3/JPG_400/MI0003/777/MI0003777916.jpg?partner=allrovi.com
0000679092;Pierre Schaeffer;;Avant-Garde, Classical;Modern Composition, Musique Concrète, Tape Music, Experimental Electronic, Avant-Garde Music, Symphony;http://cps-static.rovicorp.com/3/JPG_400/MI0003/300/MI0003300776.jpg?partner=allrovi.com
0000406909;Oren Ambarchi;;Avant-Garde, Electronic, Pop/Rock;Experimental Ambient, Post-Minimalism, Alternative/Indie Rock, Experimental Rock, Microsound, Sound Art;http://cps-static.rovicorp.com/3/JPG_500/MI0003/745/MI0003745360.jpg?partner=allrovi.com
0000654129;Luc Ferrari;;Avant-Garde, Classical;Modern Composition, Musique Concrète, Experimental Electronic, Keyboard, Avant-Garde Music, Chamber Music;http://cps-static.rovicorp.com/3/JPG_500/MI0003/278/MI0003278144.jpg?partner=allrovi.com
